// positions          // normals           // texture coords
    -0.053543f, 0.175174f, -0.019596f,  -1.000000f, -0.000000f, -0.000000f,  0.894043f, 0.947754f,
    -0.053543f, 0.192658f, -0.019596f,  -1.000000f, -0.000000f, -0.000000f,  0.894043f, 1.000000f,
    -0.053543f, 0.192658f, -0.037080f,  -1.000000f, -0.000000f, -0.000000f,  0.841309f, 1.000000f,
    -0.053543f, 0.175174f, -0.019596f,  -1.000000f, -0.000000f, -0.000000f,  0.894043f, 0.947754f,
    -0.053543f, 0.192658f, -0.037080f,  -1.000000f, -0.000000f, -0.000000f,  0.841309f, 1.000000f,
    -0.053543f, 0.175174f, -0.037080f,  -1.000000f, -0.000000f, -0.000000f,  0.841309f, 0.947754f,
    -0.053543f, 0.175174f, -0.037080f,  -0.000000f, -0.000000f, -1.000000f,  0.946777f, 1.000000f,
    -0.053543f, 0.192658f, -0.037080f,  -0.000000f, -0.000000f, -1.000000f,  0.946777f, 0.946289f,
    -0.036059f, 0.192658f, -0.037080f,  -0.000000f, -0.000000f, -1.000000f,  1.000000f, 0.946289f,
    -0.053543f, 0.175174f, -0.037080f,  -0.000000f, -0.000000f, -1.000000f,  0.946777f, 1.000000f,
    -0.036059f, 0.192658f, -0.037080f,  -0.000000f, -0.000000f, -1.000000f,  1.000000f, 0.946289f,
    -0.036059f, 0.175174f, -0.037080f,  -0.000000f, -0.000000f, -1.000000f,  1.000000f, 1.000000f,
    -0.036059f, 0.175174f, -0.037080f,  1.000000f, -0.000000f, -0.000000f,  0.994611f, 0.275347f,
    -0.036059f, 0.192658f, -0.037080f,  1.000000f, -0.000000f, -0.000000f,  0.994611f, 0.328503f,
    -0.036059f, 0.192658f, -0.019596f,  1.000000f, -0.000000f, -0.000000f,  0.941454f, 0.328503f,
    -0.036059f, 0.175174f, -0.037080f,  1.000000f, -0.000000f, -0.000000f,  0.994611f, 0.275347f,
    -0.036059f, 0.192658f, -0.019596f,  1.000000f, -0.000000f, -0.000000f,  0.941454f, 0.328503f,
    -0.036059f, 0.175174f, -0.019596f,  1.000000f, -0.000000f, -0.000000f,  0.941454f, 0.275347f,
    -0.036059f, 0.175174f, -0.019596f,  -0.000000f, -0.000000f, 1.000000f,  1.000000f, 0.940918f,
    -0.036059f, 0.192658f, -0.019596f,  -0.000000f, -0.000000f, 1.000000f,  1.000000f, 0.994629f,
    -0.053543f, 0.192658f, -0.019596f,  -0.000000f, -0.000000f, 1.000000f,  0.946777f, 0.994629f,
    -0.036059f, 0.175174f, -0.019596f,  -0.000000f, -0.000000f, 1.000000f,  1.000000f, 0.940918f,
    -0.053543f, 0.192658f, -0.019596f,  -0.000000f, -0.000000f, 1.000000f,  0.946777f, 0.994629f,
    -0.053543f, 0.175174f, -0.019596f,  -0.000000f, -0.000000f, 1.000000f,  0.946777f, 0.940918f,
    -0.053543f, 0.175174f, -0.037080f,  -0.000000f, -1.000000f, -0.000000f,  0.945801f, 0.943848f,
    -0.036059f, 0.175174f, -0.037080f,  -0.000000f, -1.000000f, -0.000000f,  0.999023f, 0.943848f,
    -0.036059f, 0.175174f, -0.019596f,  -0.000000f, -1.000000f, -0.000000f,  0.999023f, 0.996094f,
    -0.053543f, 0.175174f, -0.037080f,  -0.000000f, -1.000000f, -0.000000f,  0.945801f, 0.943848f,
    -0.036059f, 0.175174f, -0.019596f,  -0.000000f, -1.000000f, -0.000000f,  0.999023f, 0.996094f,
    -0.053543f, 0.175174f, -0.019596f,  -0.000000f, -1.000000f, -0.000000f,  0.945801f, 0.996094f,
    -0.036059f, 0.192658f, -0.037080f,  -0.000000f, 1.000000f, -0.000000f,  0.991699f, 0.955566f,
    -0.053543f, 0.192658f, -0.037080f,  -0.000000f, 1.000000f, -0.000000f,  0.991699f, 0.996094f,
    -0.053543f, 0.192658f, -0.019596f,  -0.000000f, 1.000000f, -0.000000f,  0.951660f, 0.996094f,
    -0.036059f, 0.192658f, -0.037080f,  -0.000000f, 1.000000f, -0.000000f,  0.991699f, 0.955566f,
    -0.053543f, 0.192658f, -0.019596f,  -0.000000f, 1.000000f, -0.000000f,  0.951660f, 0.996094f,
    -0.036059f, 0.192658f, -0.019596f,  -0.000000f, 1.000000f, -0.000000f,  0.951660f, 0.955566f,
